Below are the match results.  Not all, but the majority we should review for now.
I was able to match:
Matching PNWH to URI: "http://opencoredata/id/resource/csdco/project/pnwh"
Matching PO to URI: "http://opencoredata/id/resource/csdco/project/po"
Matching POLK to URI: "http://opencoredata/id/resource/csdco/project/polk"
Matching POPOVO to URI: ""
Matching PPGPR to URI: ""
Matching PRES to URI: "http://opencoredata/id/resource/csdco/project/pres"
Matching PRI to URI: "http://opencoredata/id/resource/csdco/project/pri"
Matching PRL to URI: ""
Matching PROK to URI: "http://opencoredata/id/resource/csdco/project/prok"
Matching PROM to URI: "http://opencoredata/id/resource/csdco/project/prom"
Matching PRPT to URI: ""
Matching PTL to URI: "http://opencoredata/id/resource/csdco/project/ptl"
Matching PUP to URI: "http://opencoredata/id/resource/csdco/project/pup"
Matching PUT to URI: "http://opencoredata/id/resource/csdco/project/put"
Matching PZA to URI: "http://opencoredata/id/resource/csdco/project/pza"
Matching QHNPN to URI: "http://opencoredata/id/resource/csdco/project/qhnpn"
Matching QHSC to URI: "http://opencoredata/id/resource/csdco/project/qhsc"
Matching QLE to URI: "http://opencoredata/id/resource/csdco/project/qle"
Matching QLE-GRM06-5A-6B-1.jpg to URI: ""
Matching QLR to URI: "http://opencoredata/id/resource/csdco/project/qlr"
Matching QUAKE to URI: "http://opencoredata/id/resource/csdco/project/quake"
Matching RAMBLE to URI: "http://opencoredata/id/resource/csdco/project/ramble"
Matching RAR to URI: "http://opencoredata/id/resource/csdco/project/rar"
Matching RECYCLER to URI: ""
Matching RED to URI: "http://opencoredata/id/resource/csdco/project/red"
Matching REST to URI: "http://opencoredata/id/resource/csdco/project/rest"
Matching RIETI to URI: "http://opencoredata/id/resource/csdco/project/rieti"
Matching RIND to URI: "http://opencoredata/id/resource/csdco/project/rind"
Matching RKE to URI: "http://opencoredata/id/resource/csdco/project/rke"
Matching RN to URI: "http://opencoredata/id/resource/csdco/project/rn"
Matching RNQB to URI: "http://opencoredata/id/resource/csdco/project/rnqb"
Matching SAC to URI: "http://opencoredata/id/resource/csdco/project/sac"
Matching SAEQ to URI: ""
Matching SAFL to URI: ""
Matching SALT to URI: "http://opencoredata/id/resource/csdco/project/salt"
Matching SAM to URI: "http://opencoredata/id/resource/csdco/project/sam"
Matching SAUK to URI: "http://opencoredata/id/resource/csdco/project/sauk"
Matching SB to URI: "http://opencoredata/id/resource/csdco/project/sb"
Matching SBB to URI: "http://opencoredata/id/resource/csdco/project/sbb"
Matching SBROWN to URI: "http://opencoredata/id/resource/csdco/project/sbrown"
Matching SCONI to URI: "http://opencoredata/id/resource/csdco/project/sconi"
Matching SCRC(St to URI: ""
Matching SDU to URI: ""
Matching SELBY to URI: "http://opencoredata/id/resource/csdco/project/selby"
Matching SGLS to URI: ""
Matching SHAKE to URI: "http://opencoredata/id/resource/csdco/project/shake"
Matching SHAP to URI: "http://opencoredata/id/resource/csdco/project/shap"
Matching SHCH to URI: ""
Matching SHLKS to URI: "http://opencoredata/id/resource/csdco/project/shlks"
Matching SHRB to URI: "http://opencoredata/id/resource/csdco/project/shrb"
Matching SHU to URI: "http://opencoredata/id/resource/csdco/project/shu"
Matching SILV to URI: "http://opencoredata/id/resource/csdco/project/silv"
Matching SLAOC to URI: "http://opencoredata/id/resource/csdco/project/slaoc"
Matching SLH to URI: "http://opencoredata/id/resource/csdco/project/slh"
Matching SLICE to URI: "http://opencoredata/id/resource/csdco/project/slice"
Matching SLR to URI: ""
Matching SLRE to URI: ""
Matching SMAST to URI: ""
Matching SMC to URI: "http://opencoredata/id/resource/csdco/project/smc"
Matching SMESA to URI: "http://opencoredata/id/resource/csdco/project/smesa"
Matching SMN to URI: ""
Matching SO4 to URI: "http://opencoredata/id/resource/csdco/project/so4"
Matching SODA to URI: "http://opencoredata/id/resource/csdco/project/soda"
Matching SOG to URI: "http://opencoredata/id/resource/csdco/project/sog"
Matching SP to URI: "http://opencoredata/id/resource/csdco/project/sp"
Matching SPA to URI: "http://opencoredata/id/resource/csdco/project/spa"
Matching SPAM to URI: "http://opencoredata/id/resource/csdco/project/spam"
Matching SPCZ to URI: ""
Matching SQNP to URI: "http://opencoredata/id/resource/csdco/project/sqnp"
Matching SREU to URI: "http://opencoredata/id/resource/csdco/project/sreu"
Matching SSAL to URI: "http://opencoredata/id/resource/csdco/project/ssal"
Matching STARS to URI: "http://opencoredata/id/resource/csdco/project/stars"
Matching STD to URI: "http://opencoredata/id/resource/csdco/project/std"
Matching STG to URI: "http://opencoredata/id/resource/csdco/project/stg"
Matching STL to URI: "http://opencoredata/id/resource/csdco/project/stl"
Matching STND to URI: ""
Matching STT to URI: "http://opencoredata/id/resource/csdco/project/stt"
Matching STURK to URI: "http://opencoredata/id/resource/csdco/project/sturk"
Matching SUK to URI: "http://opencoredata/id/resource/csdco/project/suk"
Matching SUPBAY to URI: "http://opencoredata/id/resource/csdco/project/supbay"
Matching SVAL to URI: "http://opencoredata/id/resource/csdco/project/sval"
Matching SVC to URI: ""
Matching SWA to URI: "http://opencoredata/id/resource/csdco/project/swa"
Matching SWAMP to URI: "http://opencoredata/id/resource/csdco/project/swamp"
Matching SWTP to URI: "http://opencoredata/id/resource/csdco/project/swtp"
Matching SYR to URI: "http://opencoredata/id/resource/csdco/project/syr"
Matching South to URI: ""
Matching Stansell to URI: ""
Matching TAC to URI: ""
Matching TAJ1 to URI: "http://opencoredata/id/resource/csdco/project/taj1"
Matching TAS to URI: "http://opencoredata/id/resource/csdco/project/tas"
Matching TAS12 to URI: "http://opencoredata/id/resource/csdco/project/tas12"
Matching TAUPO to URI: "http://opencoredata/id/resource/csdco/project/taupo"
Matching TCH to URI: "http://opencoredata/id/resource/csdco/project/tch"
Matching TDF to URI: "http://opencoredata/id/resource/csdco/project/tdf"
Matching TDP to URI: "http://opencoredata/id/resource/csdco/project/tdp"
Matching TEMPLATE to URI: ""
