Below are the match results. 
Matching NDE to URI: "http://opencoredata.org/id/csdco/project/v1/NDE"
Matching NGDC to URI: ""
Matching NH to URI: "http://opencoredata.org/id/csdco/project/v1/NH"
Matching NHC to URI: ""
Matching NHPM to URI: "http://opencoredata.org/id/csdco/project/v1/NHPM"
Matching NIBI to URI: "http://opencoredata.org/id/csdco/project/v1/NIBI"
Matching NICE to URI: "http://opencoredata.org/id/csdco/project/v1/NICE"
Matching NLC to URI: ""
Matching NLSN to URI: "http://opencoredata.org/id/csdco/project/v1/NLSN"
Matching NOCA to URI: "http://opencoredata.org/id/csdco/project/v1/NOCA"
Matching NP04 to URI: "http://opencoredata.org/id/csdco/project/v1/NP04"
Matching NRF to URI: "http://opencoredata.org/id/csdco/project/v1/NRF"
Matching NUNV to URI: "http://opencoredata.org/id/csdco/project/v1/NUNV"
Matching NWG14 to URI: "http://opencoredata.org/id/csdco/project/v1/NWG14"
Matching NZ12 to URI: "http://opencoredata.org/id/csdco/project/v1/NZ12"
Matching NZ13 to URI: "http://opencoredata.org/id/csdco/project/v1/NZ13"
Matching OCR to URI: "http://opencoredata.org/id/csdco/project/v1/OCR"
Matching ODP to URI: "http://opencoredata.org/id/csdco/project/v1/ODP"
Matching OGDP to URI: "http://opencoredata.org/id/csdco/project/v1/OGDP"
Matching OHIO to URI: "http://opencoredata.org/id/csdco/project/v1/OHIO"
Matching OHPA to URI: "http://opencoredata.org/id/csdco/project/v1/OHPA"
Matching OJB to URI: "http://opencoredata.org/id/csdco/project/v1/OJB"
Matching OMAA to URI: "http://opencoredata.org/id/csdco/project/v1/OMAA"
Matching OPS to URI: "http://opencoredata.org/id/csdco/project/v1/OPS"
Matching ORCA to URI: "http://opencoredata.org/id/csdco/project/v1/ORCA"
Matching ORDWAY to URI: "http://opencoredata.org/id/csdco/project/v1/ORDWAY"
Matching OSU to URI: "http://opencoredata.org/id/csdco/project/v1/OSU"
Matching OUNIK to URI: "http://opencoredata.org/id/csdco/project/v1/OUNIK"
Matching OWENS to URI: "http://opencoredata.org/id/csdco/project/v1/OWENS"
Matching Olduvai to URI: ""
Matching PAL to URI: ""
Matching PALAU to URI: "http://opencoredata.org/id/csdco/project/v1/PALAU"
Matching PALEON to URI: "http://opencoredata.org/id/csdco/project/v1/PALEON"
Matching PALSS to URI: "http://opencoredata.org/id/csdco/project/v1/PALSS"
Matching PARRIS to URI: "http://opencoredata.org/id/csdco/project/v1/PARRIS"
Matching PAT to URI: "http://opencoredata.org/id/csdco/project/v1/PAT"
Matching PATACH to URI: "http://opencoredata.org/id/csdco/project/v1/PATACH"
Matching PATTON to URI: "http://opencoredata.org/id/csdco/project/v1/PATTON"
Matching PBR to URI: "http://opencoredata.org/id/csdco/project/v1/PBR"
Matching PEAT to URI: "http://opencoredata.org/id/csdco/project/v1/PEAT"
Matching PEMI to URI: "http://opencoredata.org/id/csdco/project/v1/PEMI"
Matching PENN to URI: "http://opencoredata.org/id/csdco/project/v1/PENN"
